soluzione,definizione
AARON,Il fratello di Mosè nella Bibbia
AARON,Il nome dell'attore Paul di Breaking Bad
AB,Iniziali dell'attore Banderas
AB,Iniziali dell'attore Borghi
AB,Iniziali dello scrittore Baricco
AB,Iniziali dell'attrice Bancroft
AB,Un gruppo sanguigno
ABACO,Antico strumento per fare conti
ABACO,La lastra in cima al capitello della colonna
ABACO,Vecchio telaio per contare con le palline
ABATE,Superiore di un monastero
ABATE,Un possibile significato è «abbate»
ABATJOUR,Lampada da comodino
ABBA,Il quartetto svedese di Waterloo
ABBA,"Padre, in aramaico"
ABBACINO,Acceco con la luce
ABBADO,Il direttore d'orchestra milanese Claudio
ABBAGLIO,Errore che acceca il giudizio
ABBAGLIO,Un possibile significato è «granchio»
ABBAGLIO,Vale anche «miraggio»
ABBAGNALE,I fratelli campioni del canottaggio
ABBAINI,Le finestrelle dei tetti mansardati
ABBAINO,Finestra sul tetto
ABBAINO,Si apre sul tetto per dare aria alla soffitta
ABBAIO,Il verso del cane alla luna
ABBANDONARE,Vale anche «partire»
ABBANDONARE,Tra i suoi significati: «disertare»
ABBANDONO,Tra i suoi significati: «disuso»
ABBANDONO,"In una sua accezione, «rilassamento»"
ABBARBICO,Mi aggrappo con le radici
ABBASSAMENTO,Può significare «riduzione»
ABBASSAMENTO,Tra i suoi significati: «calo»
ABBASSARE,Tra i suoi significati: «tagliare»
ABBASSARE,Un possibile significato è «diminuire»
ABBASSO,"In una sua accezione, «sotto»"
ABBASSO,Può significare «giù»
ABBASTANZA,Può significare «piuttosto»
ABBASTANZA,Può significare «completamente»
ABBATTERE,Un possibile significato è «rovesciare»
ABBATTERE,Un possibile significato è «sfondare»
ABBATTIMENTO,Tra i suoi significati: «depressione»
ABBATTIMENTO,Può significare «demolizione»
ABBATTUTO,Un possibile significato è «depresso»
ABBATTUTO,Può significare «sbattuto»
ABBAZIA,Casa religiosa con chiostro e campane
ABBAZIA,Il monastero retto da un abate
ABBAZIA,Può significare «monastero»
ABBAZIE,Ospitano monaci e chiostri
ABBECEDARIO,Il primo libro per imparare a leggere
ABBEVERATOIO,La vasca dove bevono gli animali
ABBIGLIAMENTO,Vale anche «vestito»
ABBIGLIAMENTO,Può significare «abito»
ABBINA,Mette in coppia
ABBINARE,Mettere in coppia
ABBINATO,Messo in coppia
ABBINDOLO,Imbroglio con destrezza
ABBINO,Metto in coppia
ABBOCCAMENTO,Il colloquio riservato
ABBONA,Dà accesso periodico
ABBONAMENTO,Dà diritto a più ingressi o corse
ABBONAMENTO,Un possibile significato è «tessera»
ABBONARE,Dare accesso periodico
ABBONATO,Dato accesso periodico
ABBONATO,Tra i suoi significati: «lettore»
ABBONDANTE,Vale anche «comodo»
ABBONDANZA,Il contrario della scarsità
ABBONDANZA,"In una sua accezione, «ricchezza»"
ABBONDANZA,Tra i suoi significati: «prosperità»
ABBONO,Do accesso periodico
ABBORRACCIO,Faccio in fretta e male
ABBOZZA,Traccia appena
ABBOZZARE,Tracciare appena
ABBOZZATO,Tracciato appena
ABBOZZO,Traccio appena
ABBOZZO,Può significare «studio»
ABBOZZO,"In una sua accezione, «disegno»"
ABBRACCERA,Stringerà fra le braccia
ABBRACCIA,Stringe fra le braccia
ABBRACCIARE,Stringere fra le braccia
ABBRACCIARE,"In una sua accezione, «comprendere»"
ABBRACCIARE,"In una sua accezione, «sposare»"
ABBRACCIATO,Stretto fra le braccia
ABBRACCIO,Stringe due persone senza corde
ABBRACCIO,Stringo forte tra le braccia
ABBRANCO,Stringo tra le branche
ABBRIVIO,La spinta iniziale che avvia una corsa
ABBRIVIO,La spinta iniziale di una nave
ABBRIVO,Slancio residuo di nave o decisione
ABBRONZATURA,Colore preso restando al sole
ABBRONZATURA,Resta sulla pelle dopo giorni di sole
