soluzione,definizione
BA,Iniziali del cantante Adams
BA,Iniziali dell'astronauta Aldrin
BA,Iniziali dell'attore Affleck
BA,Sigla automobilistica di Bari
BAAL,Antica divinità cananea
BABA,"Alì..., dei quaranta ladroni"
BABA,Dolce napoletano imbevuto di rum
BABBANO,Il non mago nel mondo di Harry Potter
BABBO,Una variante di padre
BABBO,Appartiene alla categoria di padre
BABBUINO,Scimmia dal muso canino
BABBUINO,Scimmia dal muso lungo e severo
BABELE,La gran confusione di voci e di lingue
BABELE,La torre biblica della confusione delle lingue
BABELE,Una manifestazione di scompiglio
BABILONESI,Popolo dell'antica Mesopotamia
BABILONIA,Antica città mesopotamica dei giardini pensili
BABILONIA,Una gran...: confusione e caos
BABILONIA,Un caso particolare di scompiglio
BABY,"Un figlio giovane, che non ha ancora iniziato a parlare o camminare"
BABY,Una variante di figlio piccolo
BABYSITTER,Un tipo particolare di donna
BACCA,Piccolo frutto da bosco o botanico
BACCALA,Il merluzzo conservato sotto sale
BACCALA,Restare come un...: impalato e imbambolato
BACCALA,Può rimandare all’idea di muto
BACCANALE,Festa sfrenata con memoria dionisiaca
BACCANO,Rumore più disordinato che forte
BACCANO,Una variante di rumore
BACCANO,Una forma specifica di rumore
BACCANTI,Le seguaci di Bacco
BACCARAT,Gioco di carte dei casinò
BACCHETTA,La tiene il direttore d'orchestra
BACCHETTA,Un tipo particolare di strumento
BACCHETTA,Una variante di strumento
BACCO,Il dio romano del vino
BACERA,Toccherà con le labbra
BACH,"Compose fughe, cantate e passioni"
BACH,Contrappunto in quattro lettere
BACH,Il maestro tedesco delle fughe e dei corali
BACHECA,Espone avvisi dietro un vetro
BACHECA,Vetrina per avvisi e trofei
BACHECA,Appartiene alla categoria di tavola
BACIA,Tocca con le labbra
BACIARE,Toccare con le labbra
BACIATO,Toccato con le labbra
BACILE,Catino largo per acqua e panni
BACILE,Recipiente largo e basso
BACILLO,Batterio a forma di bastoncino
BACINETTO,Elmo medievale appuntito
BACINO,La conca che raccoglie le acque
BACINO,La parte del corpo tra ventre e gambe
BACINO,Parte del corpo o conca d'acqua
BACINO,Una variante di falda
BACIO,Gesto d'affetto con le labbra
BACIO,Il cioccolatino di Perugia col bigliettino
BACIO,Quello di Giuda è traditore
BACIO,Tocco con le labbra
BACKGAMMON,Gioco da tavolo con dadi e pedine
BACKGROUND,Un caso particolare di retaggio
BACKGROUND,Un tipo particolare di retaggio
BACKSTAGE,Il dietro le quinte di uno spettacolo
BACKUP,Copia di sicurezza dei dati
BACO,Il verme della seta
BACO,L'errore nascosto nel programma del computer
BACO,Larva da seta
BACO,Una manifestazione di vizio
BACON,Artista inglese dei volti deformati
BACON,La pancetta affumicata della colazione inglese
BACON,Pittore inglese dei volti deformati
BACONE,Il filosofo inglese del metodo induttivo
BAD,"Cattivo, in inglese"
BAD,Il Bunny portoricano del reggaeton
BADA,Fa attenzione
BADA,Tenere a...: tenere a distanza
BADAI,Passato remoto: Fare attenzione
BADARE,Fare attenzione
BADARE,Una forma specifica del verificare
BADARE,Rientra tra i modi di verificare
BADATO,Fatto attenzione
BADIA,L'abbazia retta dall'abate
BADIA,Una forma specifica di convento
BADIA,Rientra nel campo di chiesa
BADILE,Attrezzo per scavare
BADILE,Pala da cantiere o da orto
BADILI,Servono a scavare nella terra
BADO,Faccio attenzione
BADOGLIO,Il Pietro maresciallo d'Italia
BAFFI,Leccarsi i...per un manicaretto
BAFFI,Peli sopra il labbro
BAFFO,Pelo sopra il labbro
BAFFO,Un esempio riconducibile a difetto
BAGAGLIAIO,Vano dell'auto dove spariscono le valigie
BAGAGLIAIO,Un caso particolare di stanza
BAGAGLIAIO,Una manifestazione di rinchiuso
BAGAGLIO,Peso che il viaggiatore dichiara o nasconde
BAGAGLIO,Valigia o insieme di valigie
BAGAGLIO,Una manifestazione di retaggio
BAGATELLA,"Cosa da poco, ma con nome elegante"
BAGEL,Il panino americano a ciambella
BAGGIO,Il Roberto Divin Codino
BAGHDAD,Capitale irachena sul Tigri
BAGLIONI,Il Claudio di Questo piccolo grande amore
BAGLIORE,Luce improvvisa nel buio
BAGLIORI,Lampi improvvisi nel buio
BAGNA,"La...cauda, intingolo piemontese"
BAGNA,Rende umido
BAGNA,Può rimandare all’idea di salsa
BAGNACAUDA,La salsa calda piemontese di aglio e acciughe
BAGNAI,Resi umido
BAGNAIA,Il pilota azzurro iridato della MotoGP
BAGNARE,Rendere umido
BAGNARE,Può rappresentare un modo di riempirsi
BAGNATO,Reso umido
BAGNATO,"Umido, secondo il contesto"
BAGNINO,Sorveglia chi nuota al lido
BAGNO,Il...Maria della cottura delicata
BAGNO,"Stanza, immersione o folla compatta"
BAGNO,Può includere vaso tra i suoi elementi
BAGOLARO,Albero ornamentale dei viali
BAGUETTE,Il filoncino di pane francese
BAHAMAS,Arcipelago caraibico di Nassau
BAHRAIN,Arcipelago del Golfo Persico
BAHREIN,Regno insulare del Golfo Persico
BAHT,La valuta della Thailandia
BAIA,"La...dei Porci, a Cuba"
BAIA,Riparo marino che invita all'ancora
BAIA,Può rimandare all’idea di scherzo
BAIKAL,Il più profondo lago del mondo
BAILAMME,Il gran chiasso confuso
BAIO,Cavallo di mantello rossiccio
BAITA,Appartiene alla categoria di casa
BAKU,Capitale azera sul Caspio
BALALAIKA,Strumento russo a cassa triangolare
BALATON,Il maggiore lago dell'Ungheria
BALAUSTRA,Il parapetto a colonnine
BALAUSTRA,Ha tra le sue parti cancellata
BALAUSTRATA,Fila di colonnine da balcone o scala
BALAUSTRO,Colonnina che fa ringhiera
BALBETTO,Parlo con la lingua impacciata
BALBO,L'Italo trasvolatore e gerarca
BALCANI,Penisola del sud-est europeo
BALCONATA,Fila di posti rialzati in teatro o allo stadio
BALCONE,Il terrazzino sporgente dalla facciata
BALCONE,Sporge dalla facciata di casa
BALCONE,Sporge dalla facciata per prendere aria
BALCONE,Sporgenza con ringhiera
BALCONI,Sporgono dalle facciate
BALDACCHINO,Drappo sospeso sopra il trono
BALDANZA,Sicurezza un po' spavalda
BALDASSARRE,Il re del banchetto della scritta sul muro
BALEARI,Isole spagnole di Maiorca e Ibiza
BALENA,Il più grande animale dei mari
BALENA,Il più grande mammifero del mare
BALENCIAGA,La maison di origine spagnola
BALENE,Giganti del mare che soffiano
BALENOTTERA,Gigante marino che filtra il plancton
BALESTRA,Arma che scaglia dardi con uno scatto
BALESTRUCCIO,Uccello migratore parente della rondine
BALI,Isola indonesiana di templi e risaie
BALIA,In...di: alla mercé di qualcosa
BALIA,Nutrice e tutela temporanea
BALIA,Appartiene alla categoria di controllo
BALISTA,Antica macchina lanciatrice di dardi
BALLA,Il Giacomo pittore futurista
BALLA,"La frottola, la grossa bugia"
BALLA,Una manifestazione di fascio
BALLAI,Mi mossi a ritmo
BALLARE,Muoversi a ritmo
BALLARE,Azione riconducibile al significato di muoversi
BALLATA,Racconto in versi con ritmo da canto
BALLATO,Danzato
BALLATOIO,Il corridoio esterno che dà sulle stanze
BALLERINA,La scarpa bassa da donna
BALLERINA,Sta sulle punte per mestiere
BALLERINA,Rientra nel campo di artista
BALLERINO,Una forma specifica di artista
BALLO,Lo si apre con le danze
BALLO,Tirare in...: chiamare in causa
BALLO,Nel lessico si avvicina a danza
BALOTELLI,"Mario, attaccante Super Mario"
BALSAMO,Lenisce la pelle o profuma i capelli
BALSAMO,Sostanza lenitiva
BALSAMO,Una forma specifica di rimedio
BALTICO,Mare freddo del Nord Europa
BALTICO,Mare quasi chiuso dell'Europa settentrionale
BALTIMORA,La città americana del Maryland
BALUARDO,Difesa estrema di mura o idee
BALUARDO,"Difesa solida, anche figurata"
BALUARDO,Una manifestazione di piazza forte
BALZA,Salto o fascia d'abito
BALZA,Un tipo particolare di roccia
BALZAC,Autore della Commedia umana
BALZAC,Scrittore della Commedia umana
BALZO,Cogliere la palla al...
BALZO,Un tipo particolare di transizione
BALZO,Può assumere il significato di roccia
BAMAKO,Capitale del Mali
BAMAKO,Capitale maliana sul Niger
BAMBAGIA,"Cotone soffice, proverbiale per delicatezza"
BAMBI,Il cerbiatto protagonista del classico Disney
BAMBINA,Una persona di sesso femminile
BAMBINA,Completa la frase: «la … era una ragazza»
BAMBINO,Essere umano prima delle scuse adulte
BAMBINO,Gesù...: la natività
BAMBINO,In certi usi corrisponde a figlio
BAMBOLA,Giocattolo con sembianze umane
BAMBOLA,"La bella ragazza, in gergo affettuoso"
BAMBOLA,Una manifestazione di giocattolo
BAMBOLE,Compagne di gioco in miniatura
BAMBU,Canna orientale che cresce in fretta
BANALE,"Scontato, privo di originalità"
BANALE,Qualità che si avvicina a comune
BANALE,Detto di ciò che richiama l’idea di qualsiasi
BANALITA,Una forma specifica di commento
BANALITA,Può rimandare all’idea di volgarità
BANANA,Frutto curvo da buccia scivolosa
BANANA,Il tiro a...: la traiettoria curva del pallone
BANANA,La buccia su cui si scivola nelle gag
BANCA,"La...dati, l'archivio di informazioni"
BANCA,Saltare il...: vincere tutto al gioco
BANCA,Vi si depositano i risparmi
BANCA,Completa la frase: «ho riscosso un assegno in …»
BANCALE,Pedana per trasportare merci
BANCAROTTA,Crollo economico di chi non paga più
BANCAROTTA,Il fallimento rovinoso di un'impresa
BANCAROTTA,Una manifestazione di insolvenza
BANCHETTO,Tavolo da mercato o piccolo convito
BANCHINA,Marciapiede di stazione o molo
BANCHINA,Margine del porto o della strada
BANCHINA,Si aspetta lì il treno o il battello
BANCHINA,Una manifestazione di versante
BANCHINE,Dove si attende il treno o si ormeggia
BANCO,Chi tiene la cassa al gioco
BANCO,Tavolo da scuola o da vendita
BANCO,Può rimandare all’idea di cassa
BANCOMAT,Lo sportello automatico per prelevare contanti
BANCOMAT,Sportello automatico da cui si può prelevare denaro
BANCOMAT,La carta usata anche per ottenere contante
BANCONOTA,Si può classificare come carta moneta
BANDA,Fascia diagonale dello stemma
BANDA,Il complesso di strumenti a fiato
BANDA,La gang di malviventi
BANDA,Un caso particolare di accolta
BANDANA,Fazzoletto colorato legato sul capo
BANDERUOLA,Gira sul tetto indicando il vento
BANDIERA,"Bianca, chiede la resa"
BANDIERA,Identità che sventola
BANDIERA,Il giocatore...simbolo della squadra
BANDIERA,Si alza sul pennone
BANDIERE,Sventolano sui pennoni
BANDIRE,Rientra tra i modi di raccontare
BANDIRE,Una forma specifica del raccontare
BANDITA,Appartiene alla categoria di circondario
BANDITO,Fuori legge o annunciato pubblicamente
BANDITO,"Il fuorilegge, il rapinatore"
BANDITO,"Messo al bando, esiliato"
BANDITO,Una forma specifica di miserabile
BANDO,Un caso particolare di comunicazione
BANDO,Appartiene alla categoria di comunicazione
BANDOLO,Il capo per districare la matassa
BANDONE,Lamiera che chiude botteghe e garage
BANDONEON,Strumento a mantice del tango
BANDUNG,Città dell'isola di Giava
BANG,Un caso particolare di rumore
BANG,Una forma specifica di rumore
BANGKOK,Capitale thailandese dei templi dorati
BANGUI,La capitale del Centrafrica
BANJO,Strumento a corde della musica country
BANJUL,La capitale del Gambia
BANKSY,Il misterioso street artist britannico
BANNER,"Bruce..., l'alter ego di Hulk"
BANNER,Lo striscione pubblicitario sul web
BANSHEE,Spirito femminile irlandese che annuncia la morte
BANTU,Gruppo di lingue dell'Africa subsahariana
BAOBAB,L'albero africano dal tronco enorme
BAR,"Ha banco, ma non sempre carte"
BAR,L'unità di misura della pressione
BAR,Rientra nel campo di ristorante
BARA,Cassa per l'ultimo viaggio
BARA,"Imbroglia al gioco, terza persona"
BARA,Ultimo contenitore di chi non viaggia più
BARABBA,Il prigioniero liberato al posto di Gesù
BARACCA,Il Francesco asso dell'aviazione
BARACCA,Mandare avanti la...: la famiglia o l'impresa
BARACCA,Riparo povero di assi e lamiere
BARACCA,Un caso particolare di rifugio
BARAONDA,Confusione rumorosa da folla in movimento
BARATRO,L'abisso profondo e oscuro
BARATRO,La rovina: sull'orlo del...
BARATRO,"Precipizio, anche morale"
BARATRO,Vuoto che invita alla prudenza
BARATTO,Lo scambio di merci senza denaro
BARATTO,Una forma specifica di atto collettivo
BARATTOLI,Custodiscono marmellate e conserve
BARATTOLO,Contenitore cilindrico con coperchio
BARATTOLO,Recipiente per conserve
BARATTOLO,Una forma specifica di contenitore
BARBA,Che...!: che noia mortale
BARBA,Cresce sul mento dell'uomo
BARBA,Farla significa radersi
BARBA,Può includere cuffia radicale tra i suoi elementi
BARBABLU,Il marito crudele della fiaba
BARBADOS,Isola delle Piccole Antille
BARBAGIANNI,Rapace notturno dal volto a cuore
BARBAGLIO,Il bagliore che abbaglia
BARBARA,Il nome della conduttrice d'Urso
BARBARA,"Santa..., patrona degli artiglieri"
BARBARIE,Una variante di atrocità
BARBARO,Una variante di primitivo
BARBAROSSA,Imperatore svevo sconfitto a Legnano
BARBE,Crescono sui menti
BARBECUE,In certi usi corrisponde a grigliata
BARBIE,Il film di Greta Gerwig del 2023
BARBIE,La bambola bionda della Mattel
