soluzione,definizione
CA,Iniziali del cantante Aznavour
CA,Iniziali dell'allenatore Ancelotti
CA,Sigla automobilistica di Cagliari
CA,Simbolo chimico del calcio
CABALA,Calcolo segreto di lettere e numeri
CABARET,Spettacolo di varietà brillante
CABARET,Può assumere il significato di vassoio
CABERNET,Il vitigno bordolese a bacca rossa
CABIBBO,Il Nicola fisico delle particelle
CABINA,L'abitacolo di pilotaggio
CABINA,L'alloggio dei passeggeri sulla nave
CABINA,"Piccolo vano su nave, spiaggia o telefono"
CABINA,Quella elettorale dove si vota
CABOTAGGIO,Navigazione lungo le coste
CABOTO,Navigatore che esplorò il Nordamerica
CABRINI,L'Antonio terzino del Mundial 1982
CACAO,Dà gusto scuro al cioccolato
CACAO,Seme da cui nasce il cioccolato
CACCIA,"Insegue prede, o velivoli nemici"
CACCIA,Può rimandare all’idea di ricerca
CACCIA,Nel lessico si avvicina a esplorazione
CACCIARE,Un modo particolare di muoversi
CACCIARE,Può essere una maniera di muoversi
CACCIATA,Allontanamento imposto da un gruppo o da un luogo
CACCIATA,Espulsione dalla propria terra
CACCIATORE,Segue tracce nei boschi con cane e fucile
CACCIATORE,Va a caccia di selvaggina
CACCIAVITE,Attrezzo per le viti
CACCIAVITE,Gira viti senza essere una chiave
CACCIUCCO,Zuppa di pesce livornese
CACHEMIRE,Pregiata lana di capra
CACHESSIA,Grave deperimento organico
CACHI,Dolce frutto autunnale arancione
CACHI,Frutti arancioni dell'autunno
CACHI,Il colore kaki delle divise militari
CACIOCAVALLO,Formaggio del Sud a forma di otre
CACIOEPEPE,La pasta romana di pecorino e pepe
CACIOTTA,Formaggio tondo di media stagionatura
CACO,"Frutto arancione, meno elegante di kaki"
CACOFONIA,Brutto suono di parole accostate
CACTUS,Pianta grassa con spine
CADAVERE,Corpo senza vita
CADAVERE,Un tipo particolare di morto
CADAVERE,Rientra nel campo di corpo
CADENZA,L'inflessione e il ritmo della voce
CADENZA,Ritmo o intonazione caratteristica
CADENZA,Ritmo riconoscibile di voce o musica
CADERE,...dalle nuvole: restare di stucco
CADERE,Inciampare e finire lungo disteso
CADERE,Può rappresentare un modo di spostarsi
CADMIO,Metallo tossico delle vecchie batterie
CADMO,Il fondatore mitico di Tebe
CADORNA,Il Luigi generale della Grande guerra
CADUCEO,Bastone alato con serpenti intrecciati
CADUCEO,Il bastone alato con due serpenti
CADUTA,Un esempio riconducibile a scivolata
CADUTA,Una variante di perdita
CAELUM,Il Bulino fra le costellazioni australi
CAFARNAO,Cittadina sul lago dove predicò Gesù
CAFFE,Si prende ristretto al bar che gli dà il nome
CAFFE,Una variante di ristorante
CAFFELATTE,Colazione chiara in tazza grande
CAFFETTERIA,Un tipo particolare di ristorante
CAFFETTIERA,Recipiente per fare il caffè
CAGLIARE,Far rapprendere il latte
CAGLIARI,Città sarda del Castello
CAGLIO,Fa coagulare il latte e nascere formaggi
CAGNOLINI,Cuccioli che scodinzolano
CAGNOLINO,Piccolo cane da compagnia
CAGNOTTO,La Tania campionessa dei tuffi
CAIFA,Il sommo sacerdote del processo a Gesù
CAIMANO,Il coccodrillo del Sudamerica
CAIMANO,Il...: il film di Moretti su Berlusconi
CAINE,Il Michael del cinema inglese
CAIRO,Città del Nilo e delle piramidi vicine
CAIRO,Metropoli sul Nilo
CALA,La piccola insenatura del mare
CALA,Scende o diminuisce
CALA,Rientra nel campo di acqua
CALABRIA,La punta dello Stivale tra due mari
CALABRONE,Il grosso e rumoroso insetto pungente
CALAI,Passato remoto: Scendere o diminuire
CALAMAIO,Vaso dell'inchiostro
CALAMAIO,Vecchio recipiente per l'inchiostro
CALAMAIO,Vecchio vasetto per l'inchiostro
CALAMARO,Mollusco che sa d'inchiostro
CALAMITA,Attira ferro e curiosità
CALAMITA,Attira il ferro senza chiamarlo
CALAMITA,Appartiene alla categoria di sfortuna
CALAMITE,Attirano il ferro
CALANCO,Solco argilloso scavato dalla pioggia
CALANCO,Solco d'argilla scavato dall'acqua
CALANCO,Solco d'erosione su terreni argillosi
CALARE,...le carte: scoprire il proprio gioco
CALARE,Scendere o diminuire
CALARE,Può essere una maniera di spostarsi
CALATA,Movimento verso il basso
CALATA,Pendio percorso scendendo
CALATO,Sceso o diminuito
CALCA,"Lei comprime, preme col piede"
CALCA,Si può classificare come accolta
CALCA,Un caso particolare di accolta
CALCAI,Passato remoto: Premere con forza
CALCATA,Borgo arroccato nella valle del Treja
CALCATO,Participio: Premere con forza
CALCE,In...: a piè di pagina
CALCE,Piede del foglio o materiale da muratore
CALCEDONIO,Pietra semipreziosa traslucida
CALCESTRUZZO,È composto anche da cemento
CALCIO,Il colpo dato col piede
CALCIO,Il minerale che rafforza le ossa
CALCIO,Sport popolare e elemento chimico
CALCIO,"Football, in un’accezione meno immediata"
CALCIODANGOLO,Rimessa dalla bandierina nel calcio
CALCO,"Io pesto, premo coi piedi"
CALCOLA,Fa conti
CALCOLARE,Fare conti
CALCOLATO,Determinato con un calcolo
CALCOLATORE,Una macchina per fare calcoli automaticamente
CALCOLATORE,Una forma specifica di competente
CALCOLATRICE,Fa conti senza carta
CALCOLATRICE,Fa i conti in un attimo
CALCOLO,Faccio conti
CALCOLO,Completa la frase: «… aritmetico»
CALCOLO,Una forma specifica di quest
CALCUTTA,Grande città dell'India orientale
CALDA,La...stagione dell'estate
CALDA,Ricca di calore
CALDAIA,Un tipo particolare di pentola
CALDAMENTE,Con una sfumatura che richiama vivamente
CALDAMENTE,Con valore vicino a cordialmente
CALDARIO,La sala calda delle terme romane
CALDE,Ricche di calore
CALDEI,Antico popolo della Babilonia
CALDER,Scultore dei mobiles
CALDERAIO,Artigiano che fabbrica pentole di rame
CALDERONE,Pentolone da strega o miscuglio confuso
CALDERONE,Una forma specifica di varietà
CALDERONE,Appartiene alla categoria di varietà
CALDI,Ricchi di calore
CALDO,Detto di notizia freschissima
CALDO,Ricco di calore
CALEB,Il nome del cantante dei Kings of Leon Followill
CALENDARIO,Mette in fila mesi e giorni
CALENDARIO,Mostra giorni e mesi
CALENDARIO,Segna i giorni dell'anno
CALENDIMAGGIO,Festa di primavera dal nome antico
CALENDULA,Fiore arancione da erboristeria
CALGARY,Città canadese dell'Alberta
CALIBRO,Una manifestazione di livello
CALIBRO,Una variante di potente
CALICE,Bicchiere da vino o oggetto sacro
CALICE,Bicchiere elegante per brindare
CALICE,Coppa da vino o parte del fiore
CALICE,Il bicchiere a stelo del vino
CALICE,Il vaso sacro dell'eucaristia
CALICI,Si levano nei brindisi
CALIFFO,Antico sovrano musulmano
CALIGINE,Opacità d'aria e di pensiero
CALIGINOSA,Offuscata da foschia
CALIGINOSE,Offuscate da foschia
CALIGINOSI,Offuscati da foschia
CALIGINOSO,Offuscato da foschia
CALIMERO,Il pulcino nero della pubblicità
CALIPSO,La ninfa che trattenne Odisseo
CALIPSO,Trattenne Ulisse su un'isola lontana
CALLA,Elegante fiore bianco a imbuto
CALLAS,La divina soprano del Novecento
CALLIGRAFIA,Bella scrittura prima della tastiera
