soluzione,definizione
EACO,Il terzo giudice degli inferi greci
EAGLES,La band americana di Hotel California
EARL,"Il conte, titolo nobiliare inglese"
EARL,Il nome del chitarrista country Scruggs
EASTWOOD,"L'attore e regista dei western, Clint"
EBANISTA,Artigiano dei legni pregiati
EBANO,Il legno nero e durissimo
EBANO,Legno nero e pregiato
EBANO,Legno scurissimo e pregiato
EBBE,Venne in possesso
EBBRA,Può esserlo una donna alterata dal vino
EBBRE,Possono esserlo donne alterate dal vino
EBBREZZA,Vale anche «sbornia»
EBBREZZA,"In una sua accezione, «ubriachezza»"
EBBRI,Possono esserlo uomini alterati dal vino
EBBRO,Può esserlo un uomo alterato dal vino
EBE,La coppiera degli dei olimpici
EBE,La dea greca della giovinezza
EBRAICO,Tra i suoi significati: «giudeo»
EBREI,Il popolo della Bibbia
EBREO,Un possibile significato è «giudeo»
EBREZZA,Stordimento allegro da gioia o vino
EBREZZA,Un possibile significato è «ebbrezza»
EBREZZA,Tra i suoi significati: «sbornia»
EBRO,Fiume della Spagna nordorientale
ECATE,Dea greca della magia
ECCELLENTE,Un possibile significato è «scelto»
ECCELLENTE,Un possibile significato è «ottimo»
ECCELLENZA,Un possibile significato è «bontà»
ECCENTRICO,"In una sua accezione, «numero»"
ECCENTRICO,Tra i suoi significati: «originale»
ECCESSO,Vale anche «estremo»
ECCESSO,"In una sua accezione, «superfluo»"
ECCEZIONALE,Un possibile significato è «unico»
ECCEZIONALE,Vale anche «imbattibile»
ECCEZIONE,Può significare «stranezza»
ECCHIMOSI,Il livido sulla pelle
ECCITANTE,Tra i suoi significati: «emozionante»
ECCITANTE,Un possibile significato è «stimolante»
ECCITARE,Può significare «provocare»
ECCITARE,Può significare «sollevare»
ECCITATO,Un possibile significato è «agitato»
ECCITAZIONE,Può significare «animazione»
ECCITAZIONE,"In una sua accezione, «infiammazione»"
ECCLESIASTICO,Vale anche «chierico»
ECHIDNA,Mammifero oviparo spinoso
ECLATANTE,Vale anche «straordinario»
ECLETTICA,Può esserlo una soluzione aperta a gusti diversi
ECLETTICHE,Possono esserlo soluzioni aperte a gusti diversi
ECLETTICI,Possono esserlo candidati aperti a gusti diversi
ECLETTICO,Sceglie da più stili senza fissarsi
ECLETTICO,Tra i suoi significati: «variegato»
ECLETTICO,Un possibile significato è «eterogeneo»
ECLISSE,Oscura il sole o la luna per poco
ECLISSE,Oscuramento del Sole o della Luna
ECLISSE,Oscuramento del cielo o della fortuna
ECLISSI,Oscurano sole o luna
ECLISSI,Quando un astro ne nasconde un altro
ECLITTICA,Il percorso apparente del Sole
ECLOGA,Componimento pastorale di gusto antico
ECO,Lo scrittore Umberto del Nome della rosa
ECO,Ninfa condannata a ripetere le ultime parole
ECO,Prefisso amico dell'ambiente
ECO,Risposta che non pensa
ECOCIDA,"Chi distrugge l'ambiente, parola recente e dura"
ECOGRAFIA,Vede con echi e non con luce
ECONOMIA,Può significare «risparmio»
ECRU,Bianco tendente al beige
ECUADOR,Paese andino attraversato dall'equatore
ECUBA,La regina troiana madre di Ettore
ECUMENE,Il mondo abitato degli antichi geografi
ECZEMA,Infiammazione cutanea pruriginosa
EDAM,Il formaggio olandese dalla crosta rossa
EDAMAME,Baccelli di soia lessati
EDDIE,Il nome dell'attore comico Murphy
EDELWEISS,La stella alpina delle vette
EDEN,Giardino perduto per un frutto
EDEN,"Un...: un luogo di delizie, un paradiso"
EDEN,Tra i suoi significati: «paradiso»
EDERA,La rampicante sempreverde dei muri
EDERA,Si arrampica sui muri senza scale
EDGAR,Il nome dello scrittore del terrore Poe
EDICOLA,Chiosco dei giornali o piccola cappella
EDICOLA,Il chiosco dove si comprano i giornali
EDICOLA,La piccola cappella votiva sul muro
EDICOLA,Vende giornali o custodisce santi
EDICOLA,Vende giornali o custodisce un'immagine sacra
EDICOLE,Vendono giornali in strada
EDIFICARE,Tra i suoi significati: «creare»
EDIFICARE,Tra i suoi significati: «stabilire»
EDIFICAZIONE,"In una sua accezione, «costruzione»"
EDIFICAZIONE,Un possibile significato è «erezione»
EDIFICIO,Tra i suoi significati: «costruzione»
EDIFICIO,"In una sua accezione, «palazzo»"
EDIMBURGO,Capitale scozzese del castello
EDIPO,Il complesso di...secondo Freud
EDIPO,Sciolse l'enigma della Sfinge
EDISON,Il Thomas Alva della lampadina
EDITH,Il nome della cantante francese Piaf
EDITO,Può significare «stampato»
EDITORE,Vale anche «curatore»
EDITORE,Vale anche «redattore»
EDITORIALE,Può significare «fondo»
EDITORIALE,Tra i suoi significati: «rubrica»
EDITTO,Il decreto solenne del sovrano
EDITTO,Ordine pubblico di autorità sovrana
EDITTO,Un possibile significato è «decreto»
EDMUND,Il nome dell'alpinista Hillary dell'Everest
EDONISMO,La dottrina che pone il piacere come bene
EDUARDO,Il nome del commediografo De Filippo
EDUCA,Forma con insegnamenti
EDUCARE,Formare con insegnamenti
EDUCARE,Vale anche «crescere»
EDUCARE,Tra i suoi significati: «formare»
EDUCATIVO,Vale anche «esemplare»
EDUCATO,Formato con insegnamenti
EDUCATO,"In una sua accezione, «civile»"
EDUCATO,Vale anche «gentile»
EDUCATORE,Vale anche «insegnante»
EDUCAZIONE,Vale anche «formazione»
EDUCAZIONE,Può significare «istruzione»
EDUCHERA,Formerà con insegnamenti
EDUCO,Formo con insegnamenti
EDULCORATA,Può esserlo una lama addolcita troppo
EDULCORATE,Possono esserlo lame addolcite troppo
EDULCORATI,Possono esserlo lavori addolciti troppo
EDULCORATO,Può esserlo un lavoro addolcito troppo
