soluzione,definizione
FA,Iniziali del ballerino Astaire
FA,"Lui agisce, compie qualcosa"
FA,Tempo trascorso: un anno...
FA,"Tra mi e sol, sul pentagramma"
FABBRICA,Produce in officina
FABBRICARE,Produrre in officina
FABBRICATO,Prodotto in officina
FABBRICHERA,Produrrà in officina
FABBRICO,Produco in officina
FABBRO,Batte il ferro finché è caldo
FABBRO,L'artigiano che forgia il ferro alla fucina
FABIO,Il Massimo detto il Temporeggiatore
FABRI,Il Fibra rapper di Applausi per Fibra
FACCHETTI,Il Giacinto difensore dell'Inter
FACCHINO,Porta pesi per mestiere
FACCIATA,Il volto esterno di un edificio
FACCIATOSTA,Lo sfacciato senza vergogna
FACEBOOK,Il social network creato da Zuckerberg
FACONDA,Parla con abbondanza elegante
FADO,Canto portoghese pieno di saudade
FAGGIO,Albero dei boschi montani
FAGIANO,L'uccello dalla lunga coda ambito dai cacciatori
FAGIANO,Selvatico piumato da caccia
FAGIOLI,Finiscono in zuppe e minestroni
FAGIOLO,Legume del minestrone
FAGOTTO,Far...: raccogliere tutto e andarsene
FAGOTTO,Strumento a fiato grave a doppia ancia
FAGOTTO,Strumento grave a fiato o involto di panni
FAI,Agisci o sigla dei beni culturali
FAIDATE,Lavoro domestico senza artigiano
FAINA,"Il mustelide ladro di polli, o la persona astuta"
FAIRPLAY,La lealtà sportiva
FALAFEL,Polpette fritte di legumi mediorientali
FALANGE,Il drappello serrato di soldati greci
FALANGE,L'ossicino che compone le dita
FALANGE,Schiera compatta o osso delle dita
FALANSTERIO,Comunità utopica da socialisti dell'Ottocento
FALCAO,"Paulo Roberto, l'Ottavo Re di Roma"
FALCATA,Passo ampio da corridore o animale
FALCE,La lama ricurva della morte
FALCE,Quella della Luna crescente
FALCE,Taglia l'erba con lama ricurva
FALCETTO,La piccola falce a mano
FALCHI,Rapaci dalla vista acuta
FALCIAI,Passato remoto: Tagliare erba o messi
FALCIATORE,Taglia erba o grano con gesto largo
FALCIATRICE,Taglia l’erba del prato
FALCO,Il fautore della linea dura in politica
FALCO,Rapace da caccia
FALCO,Rapace dalla vista acuta
FALCO,Rapace veloce dal volo tagliente
FALCON,"Il falco, in inglese"
FALCON,Il razzo riutilizzabile di SpaceX
FALCONE,Il Giovanni magistrato ucciso a Capaci
FALCONE,Il rapace addestrato per la caccia
FALCONETTO,Piccolo cannone antico
FALCONIERE,Addestra rapaci per caccia e spettacoli
FALDA,La tesa del cappello
FALDA,Lo strato d'acqua nel sottosuolo
FALDA,"Strato nascosto, di acqua o tessuto"
FALDISTORIO,Sedia pieghevole da cerimonia ecclesiastica
FALEGNAME,Lavora il legno
FALEGNAMERIA,La bottega di chi lavora il legno
FALENA,Farfalla notturna attratta dalla luce
FALENE,Insetti notturni attratti dalla luce
FALERNA,Vino antico di pregio
FALLACE,Ingannatore o errato
FALLACI,L'Oriana giornalista e scrittrice
FALLO,Cogliere in...: sorprendere sul fatto
FALLO,L'infrazione che l'arbitro fischia
FALLOPPIO,Il Gabriele anatomista del Cinquecento
FALO,Fuoco all'aperto per festa o segnale
FALO,Il gran fuoco acceso all'aperto
FALO,Il...delle vanità di Savonarola
FALSA,Può esserlo una storia non vera
FALSE,Possono esserlo storie non vere
FALSETTO,Voce che sale oltre il registro naturale
FALSI,Possono esserlo dati non veri
FALSO,Contraffatto o menzognero
FALSO,Il documento contraffatto
FALSO,La stonatura: cantare...
FALSTAFF,L'ultima opera comica di Verdi
FAMA,Corre più dei suoi protagonisti
FAMA,"La celebrità, la notorietà"
FAME,Lo stimolo di chi deve mettersi a tavola
FAME,Una...da lupi
FAMIGLIA,Comincia spesso da casa e parenti
FAMOSA,Può esserlo una cosa conosciuta da molti
FAMOSE,Possono esserlo cose conosciute da molti
FAMOSI,Possono esserlo oggetti conosciuti da molti
FAMOSO,Può esserlo un oggetto conosciuto da molti
FAN,"Il ventilatore, in inglese"
FAN,Vive di idoli e autografi
FANALE,Il...di coda: l'ultimo in classifica
FANALE,La luce di segnalazione del veicolo
FANALE,Luce di auto o di porto
FANALE,Occhio di veicolo o porto
FANALI,Illuminano strade e veicoli
FANALINO,Luce piccola in coda o in fondo alla classifica
FANDANGO,Danza spagnola in tre tempi
FANEROGAMA,Pianta con organi riproduttivi visibili
FANFARA,Banda di ottoni e tamburi
FANFARA,Banda squillante da parata
FANFARA,La banda militare di ottoni e percussioni
FANGO,Quello termale curativo
FANGO,Terra impastata d'acqua
FANGO,Terra liquida che sporca e trattiene
FANTA,Il...calcio dei punteggi dei giocatori
FANTA,La bibita gassata all'arancia
FANTASIA,Disegna ciò che gli occhi non vedono
FANTASIA,L'immaginazione creativa
FANTASMA,Apparizione da storia di paura
FANTASMA,Il...dell'Opera
FANTASMA,Spirito che apparirebbe ai vivi
FANTASMI,Spaventano nei castelli
FANTASTICARE,Sognare a occhi aperti
FANTINO,Piccolo cavaliere da palio
FAO,Agenzia ONU per l'alimentazione con sede a Roma
FAO,"L'agenzia ONU contro la fame, con sede a Roma"
FARAD,L'unità di capacità elettrica
FARADAY,Pioniere dell'elettromagnetismo
FARAGLIONE,Scoglio alto che spunta dal mare
FARAGLIONE,Scoglio alto isolato presso la costa
FARDELLO,Peso materiale o pensiero gravoso
FARE,Il modo di comportarsi: un...gentile
FARE,Verbo che trasforma intenzioni in atti
FARETRA,Custodia per le frecce
FARETRA,L'astuccio che porta le frecce
FARFALLA,Avere le...nello stomaco: essere innamorati
FARFALLA,Insetto che scrive colori nell'aria
FARFALLA,Insetto dalle ali colorate
FARFALLA,Lo stile di nuoto detto anche delfino
FARFALLE,Hanno ali colorate e vita breve
FARFALLE,Pasta a forma di fiocco
FARGO,La serie ispirata al film dei Coen
FARI,Guidano navi e automobilisti nel buio
FARINA,...del proprio sacco: idea tutta propria
FARINA,Nuvola bianca da pane e torte
FARINA,Polvere del grano macinato
FARINA,Polvere di grano per pane e pasta
FARINGE,Corridoio fra bocca e esofago
FARINGITE,Infiammazione della faringe
FARISEA,Può esserlo una cosa ipocritamente virtuosa
FARISEE,Possono esserlo cose ipocritamente virtuose
FARISEI,Possono esserlo oggetti ipocritamente virtuosi
FARISEO,Rigido osservante o ipocrita per antonomasia
FARMACIA,Dove si comprano i medicinali
FARMACISTA,Vende medicine in farmacia
FARMACOLOGIA,Lo studio dei medicinali
FARNETICO,Deliro fuori di senno
FARO,La luce anteriore dell'automobile
FARO,La torre che guida le navi di notte
FARO,Luce che guida le navi
FARO,Occhio luminoso per navi e automobilisti
FARRAGINOSA,Può esserlo una cosa confusa e pesante
FARRAGINOSE,Possono esserlo cose confuse e pesanti
FARRAGINOSI,Possono esserlo oggetti confusi e pesanti
FARRAGINOSO,Può esserlo un oggetto confuso e pesante
FARRO,L'antico cereale delle zuppe rustiche
FARSA,Commedia o situazione ridicola
FARSA,"La pagliacciata, la cosa ridicola e finta"
FARSI,"...da parte: spostarsi, scansarsi"
FARSI,La lingua persiana dell'Iran
FASCIA,La striscia di tessuto che avvolge
FASCIA,Quella oraria o d'età
FASCIA,"Striscia che avvolge, sostiene o distingue"
FASCIA,Striscia di stoffa o di terreno
FASCIA,"Striscia, zona o grado militare"
FASCICOLO,Piccolo insieme di fogli legati
FASCINO,Attrazione che non si misura
FASCINO,"Il magnetismo, l'attrattiva irresistibile"
FASCIO,"Il mannello legato, o il raggio di luce"
FASE,Passaggio di luna o di progetto
FASE,Quella della Luna che cresce o cala
FASTO,Lusso esibito nelle cerimonie
FATA,Dispensa incanti nelle fiabe
FATA,La maga buona delle fiabe
FATA,La...Turchina di Pinocchio
FATALISMO,La rassegnazione al destino segnato
FATAMORGANA,Illusione ottica che deforma l'orizzonte
FATAMORGANA,Miraggio con nome di maga
FATICA,La...di Ercole: l'impresa erculea
FATICA,Sforzo che pesa sui muscoli
FATICAI,Spesi molto sforzo
FATICARE,Spendere molto sforzo
FATICATO,Speso molto sforzo
FATICHERA,Farà molta fatica
FATICHERO,Spenderò molto sforzo
FATICHIAMO,Spendiamo molto sforzo
FATICO,Spendo molto sforzo
FATISCENTE,Sta cadendo senza essere già crollato
FATO,Destino con tono antico
FATTORE,Chi amministra la fattoria
FATTORE,Il numero che entra in una moltiplicazione
FATTORE,L'elemento che determina un risultato
FATTORIA,Casa di campagna con produzione
FATTORIA,Casa rurale con animali e campi
FATTORIA,La...degli animali di Orwell
FATTORINO,Consegna pacchi o messaggi
FAULKNER,Il William di Assalonne Assalonne
FAUNA,Popolazione animale d'un luogo
FAUNO,Divinità boschiva con zampe caprine
FAUNO,"Il labirinto del..., film di Del Toro"
FAUNO,La divinità campestre con corna e zampe caprine
FAUST,Dottore che firma col diavolo
FAVA,Legume che ha nome anche in proverbi
FAVA,Prendere due piccioni con una...
FAVILLE,Scintille che saltano dal fuoco
FAVO,Opera geometrica delle api
FAVOLA,Raccontino con la morale e gli animali
FAVOLA,Racconto con morale e animali parlanti
FAVOLA,Una cosa stupenda: è stata una...
FAVORIRE,Agevolare
FAVORISCE,Agevola
