soluzione,definizione
IAGO,Il pappagallo di Aladdin
IAGO,Traditore che avvelena l'orecchio
IAN,Il nome dello scrittore Fleming creatore di 007
IARDA,L'unità anglosassone di poco meno di un metro
IBADAN,Città della Nigeria
IBERO,Antico abitante di Spagna e Portogallo
IBIS,Sacro sulle rive del Nilo antico
IBIS,Una catena di alberghi economici
IBISCO,Fiore tropicale dai grandi petali
IBIZA,Isola balearica della vita notturna
IBRAHIMOVIC,"Zlatan, gigante svedese del Milan"
ICARO,Cadde per essersi avvicinato al sole
ICEBERG,La punta dell'...: la parte visibile
ICEBERG,Montagna di ghiaccio galleggiante
ICENI,Tribù britannica della regina Budicca
ICO,Suffisso di molti aggettivi
ICONA,Immagine sacra o simbolo famoso
ICORE,"Sangue degli dei, non dei mortali"
ICOSAEDRO,Solido a venti facce
IDA,Il monte cretese legato a Zeus
IDAHO,Lo Stato americano famoso per le patate
IDE,Pesce dei fiumi europei
IDEA,"Il barlume, la pur minima nozione"
IDEA,Scintilla prima dell'azione
IDEA,Nasce in testa
IDEALISMO,La dottrina che pone l'idea a fondamento del reale
IDILLIO,Pace amorosa o pastorale
IDILLIO,Amore sereno o quadretto pastorale
IDOLO,La statua adorata e venerata
IDOLO,Oggetto di culto o di fan
IDRA,Il minuscolo animale d'acqua dolce dai tentacoli
IDRA,Mostro mitologico dalle molte teste
IDRAULICO,Ripara tubi e impianti dell'acqua
IDROFILO,Assorbe acqua o la ama
IDROFOBIA,La paura dell'acqua
IDROFONO,Ascolta sott'acqua
IDROGENO,Elemento primo e leggerissimo
IDROGENO,La bomba all'...più potente dell'atomica
IDROGRAFO,Lo studioso che misura mari e fiumi
IDROMASCHIO,Nome italiano di Hydrus
IDROVOLANTE,Aereo che ammara sull'acqua
IERATICO,Solenne e immobile come una statua sacra
IEROFANTE,Sacerdote dei misteri antichi
IFRIT,Potente spirito del folklore arabo
IGLOO,Casa di ghiaccio degli Inuit
IGNARA,Può esserlo una donna che non sa
IGNARE,Possono esserlo donne che non sanno
IGNARI,Possono esserlo uomini che non sanno
IGNARO,Può esserlo un uomo che non sa
IGNAZIO,Il fondatore dei gesuiti
IGROMETRO,Misura l'umidità
IGUANA,Rettile da teca tropicale
IKEA,Il colosso svedese dei mobili da montare
IKEBANA,L'arte giapponese della composizione floreale
ILCAIRO,Capitale egiziana sul Nilo
ILEO,Tratto intestinale da anatomisti
ILLIRI,Antico popolo dell'Adriatico orientale
ILLIRICO,Dell'antica regione balcanica
ILLUMINA,Dà luce
ILLUMINARE,Dare luce
ILLUMINATO,Dato luce
ILLUMINISMO,Il movimento della ragione e dei lumi
ILLUMINO,Do luce
ILLUSE,Diede vane speranze
ILLUSIONE,Inganno dei sensi o della speranza
ILLUSORIA,Può esserlo una cosa che trae in inganno
ILLUSORIE,Possono esserlo cose che traggono in inganno
ILLUSORII,Possono esserlo oggetti che traggono in inganno
ILLUSORIO,Può esserlo un oggetto che trae in inganno
ILLUSTRE,Può esserlo un uomo famoso e rispettato
ILLUSTRI,Possono esserlo uomini famosi e rispettati
IM,Iniziali dell’attore McKellen
IM,"La messaggistica istantanea, in sigla"
IMAGO,"Figura adulta dell'insetto, per entomologi"
IMBALLA,Prepara in pacchi
IMBALLARE,Preparare in pacchi
IMBALLATO,Preparato in pacchi
IMBALLO,Preparo in pacchi
IMBARCA,Fa salire a bordo
IMBARCARE,Far salire a bordo
IMBARCATO,Fatto salire a bordo
IMBARCHERA,Farà salire a bordo
IMBARCO,Faccio salire a bordo
IMBELLE,Può esserlo un uomo poco combattivo
IMBELLI,Possono esserlo uomini poco combattivi
IMBIANCHINO,Tinteggia muri e pareti
IMBOTTITURA,Il ripieno morbido di un capo
IMBROGLIARE,Ingannare con l'inganno
IMBRONCIATA,Può esserlo una donna dal volto scuro
IMBRONCIATE,Possono esserlo donne dal volto scuro
IMBRONCIATI,Possono esserlo uomini dal volto scuro
IMBRONCIATO,Può esserlo un uomo dal volto scuro
IMBUTO,Convoglia liquidi in bottiglia
IMBUTO,Il collo di...: la strozzatura che rallenta
IMBUTO,L'arnese a cono per travasare i liquidi
IMBUTO,Aiuta a versare nei recipienti stretti
IMENE,Dio nuziale o termine anatomico
IMITA,Rifa alla maniera di altri
IMITAI,Rifai alla maniera di altri
IMITARE,Rifare alla maniera di altri
IMITATO,Rifatto alla maniera di altri
IMITO,Rifo alla maniera di altri
IMMAGINAZIONE,La facoltà di immaginare
IMMANENTE,"Sta dentro il mondo, non oltre"
IMMERSE,Tuffò nell'acqua
IMMOBILE,"Ciro, bomber capocannoniere della Lazio"
IMMOTA,Può esserlo una cosa senza movimento
IMMOTE,Possono esserlo cose senza movimento
IMMOTI,Possono esserlo oggetti senza movimento
IMMOTO,Fermo con tono letterario
IMMUNE,Può esserlo un oggetto esente da un male
IMMUNE,"Resistente, che non si ammala"
IMMUNI,Possono esserlo oggetti esenti da un male
IMMUNOLOGIA,Lo studio delle difese dell'organismo
IMOLA,Il circuito intitolato a Enzo e Dino Ferrari
IMPARA,Acquista conoscenza
IMPARAI,Acquistai conoscenza
IMPARARE,Acquistare conoscenza
IMPARATO,Acquistato conoscenza
IMPARO,Acquisto conoscenza
IMPASSE,Stallo elegante in parola francese
IMPASTA,Mescola farina e acqua
IMPASTARE,Mescolare farina e acqua
IMPASTATO,Il Peppino di Cinisi contro la mafia
IMPASTO,Fusione di colori o di suoni
IMPASTO,Miscela di farina e acqua
IMPAVIDA,Può esserlo una donna senza paura
IMPAVIDE,Possono esserlo donne senza paura
IMPAVIDI,Possono esserlo uomini senza paura
IMPAVIDO,Può esserlo un uomo senza paura
IMPEGNA,Vincola a un compito
IMPEGNARE,Vincolare a un compito
IMPEGNATO,Vincolato a un compito
IMPEGNO,Vincolo a un compito
IMPERIO,Comando che non chiede permesso
IMPERMEABILE,Soprabito che ripara dalla pioggia
IMPETIGINE,Male della pelle dal nome poco leggero
IMPETTITO,Rigido e tronfio nel portamento
IMPETUOSA,Può esserlo una donna piena di slancio
IMPETUOSE,Possono esserlo donne piene di slancio
IMPETUOSI,Possono esserlo uomini pieni di slancio
IMPETUOSO,Può esserlo un uomo pieno di slancio
IMPLUME,Può esserlo un oggetto senza piume
IMPLUMI,Possono esserlo oggetti senza piume
IMPLUVIO,Vasca centrale dell'atrio romano
IMPORTA,Ha peso o fa entrare merci
IMPORTAI,Ebbi peso o feci entrare merci
IMPORTARE,Avere peso o far entrare merci
IMPORTATO,Avuto peso o introdotto merci
IMPORTO,Ho peso o faccio entrare merci
IMPOSE,Costrinse ad accettare
IMPRECO,Lancio bestemmie e maledizioni
IMPRONTA,Firma lasciata da dito o passo
IMPRONTA,Segno lasciato da piede o dito
IMPRUDENZA,La leggerezza di chi rischia troppo
IN,"Alla moda, di gran tendenza"
IN,Prefisso di negazione
INANE,"Vuoto d'efficacia, in tono letterario"
INARCAI,Passato remoto: Piegare ad arco
INARI,La divinità giapponese del riso e delle volpi
INAUDITA,Può esserlo una cosa mai sentita prima
INAUDITE,Possono esserlo cose mai sentite prima
INAUDITI,Possono esserlo oggetti mai sentiti prima
INAUDITO,Può esserlo un oggetto mai sentito prima
INCA,Popolo andino prima dei conquistadores
INCANNUCCIATURA,Intreccio di canne per le sedie
INCANTO,Meraviglia o vendita al miglior offerente
INCAUTA,Può esserlo una donna poco prudente
INCAUTE,Possono esserlo donne poco prudenti
INCAUTI,Possono esserlo uomini poco prudenti
INCAUTO,Può esserlo un uomo poco prudente
INCENSO,Fumo profumato da rito
INCERTA,Può esserlo una storia non sicura
INCERTE,Possono esserlo storie non sicure
INCERTI,Possono esserlo dati non sicuri
INCERTO,Può esserlo un dato non sicuro
INCESPICO,Inciampo malamente
INCHIOSTRO,Liquido che rende visibili le parole
INCIPIT,Le prime parole che aprono un testo
INCISE,Scolpì nella pietra
INCISO,Frase laterale o segno scavato
INCISORE,Artista che incide lastre e matrici
INCLINE,Può esserlo un oggetto propenso
INCLINI,Possono esserlo oggetti propensi
INCLITO,Illustre con lessico cerimonioso
INCOLLA,Une con colla
INCOLLARE,Unire con colla
INCOLLATO,Unito con colla
INCOLLO,Uno con colla
INCOLTO,Il terreno non coltivato
INCORAGGERA,Darà coraggio
INCORAGGIA,Dà coraggio
INCORAGGIARE,Dare coraggio
INCORAGGIATO,Dato coraggio
