soluzione,definizione
JAB,Diretto rapido sferrato con la mano avanzata
JAB,Il colpo che misura la distanza sul ring
JACK,Il fante del mazzo anglosassone
JACK,Il nome di Nicholson
JACK,La presa per collegare cuffie e strumenti
JACKIECHAN,L’attore di Rush Hour celebre per le acrobazie
JACKSON,"Michael, la voce di Thriller"
JACKSPARROW,Il capitano pirata interpretato da Johnny Depp
JACOB,Il Grimm filologo e raccoglitore di fiabe
JACOBS,Il velocista italiano oro olimpico nei 100 metri ai Giochi di Tokyo
JACQUES,"Il nome di Cousteau, esploratore degli oceani"
JAGGER,"Mick, frontman dei Rolling Stones"
JAIME,Il Lannister soprannominato Sterminatore di Re
JAIPUR,La Città Rosa dell’India
JAMES,Il Bond con licenza di uccidere
JAMES,Il Dean di Gioventù bruciata
JAMIE,Il nome dello chef britannico Oliver
JAN,Gennaio abbreviato nei calendari inglesi
JAN,Il Vermeer della Ragazza con l’orecchino di perla
JANE,La Austen di Orgoglio e pregiudizio
JANE,La compagna di Tarzan nella giungla
JANET,La Jackson sorella di Michael
JANNACCI,"Enzo, cantautore di Vengo anch’io. No, tu no"
JARVIS,L’assistente digitale di Tony Stark
JASMINE,La principessa di Agrabah amata da Aladdin
JASON,Lo Statham dei film d’azione
JASON,Il killer con la maschera da hockey di Venerdì 13
JAYZ,Il rapper di Empire State of Mind
JAZZ,Musica nata nelle comunità afroamericane di New Orleans
JBL,Marchio audio noto per casse e cuffie
JEAN,Il Reno di Léon
JEAN,Tessuto robusto tipico dei pantaloni blu
JEDI,Cavaliere della Forza nella saga di Guerre stellari
JEEG,Il robot d’acciaio guidato da Hiroshi
JEEP,Marchio statunitense simbolo dei fuoristrada
JEEP,Veicolo adatto a strade sconnesse
JEEP,Nome commerciale divenuto comune per un fuoristrada
JEFF,Il Bezos fondatore di Amazon
JEFFERSON,Terzo presidente degli Stati Uniti e principale estensore della Dichiarazione d’indipendenza
JENNIFER,Il nome della Aniston di Friends
JEREMY,L’Irons premio Oscar per Il mistero von Bulow
JERRY,Il Lewis della comicità americana
JERRY,Il topo che sfugge continuamente a Tom
JERRY,Completa il titolo del celebre duo animato Tom e…
JERSEY,Isola della Manica al largo della Normandia
JERSEY,"Maglia di una squadra, in inglese"
JERSEY,Segue New nel nome di uno Stato americano
JESSE,L’Owens delle quattro medaglie d’oro a Berlino 1936
JESSE,Il Pinkman socio di Walter White
JET,Aereo spinto da motori a reazione
JET,Precede set nell’espressione dell’alta società internazionale
JETSONS,La famiglia animata che vive nel futuro
JIM,Il Morrison voce dei Doors
JIM,Il Carrey di The Mask
JIMMY,Il Page chitarrista dei Led Zeppelin
JOANNE,Il nome di battesimo della Rowling di Harry Potter
JOBS,"Lavori e impieghi, in inglese"
JOBS,"Steve, cofondatore di Apple"
JOE,Il nome di Biden
JOE,Il Frazier che affrontò Muhammad Ali
JOEL,"Billy, autore di Piano Man"
JOEL,Il Coen regista con il fratello Ethan
JOFFREY,Il giovane sovrano tirannico di Approdo del Re
JOGGING,Corsa a ritmo blando praticata per allenamento
JOHANNESBURG,La grande città sudafricana sorta con la corsa all’oro
JOHANSSON,"Scarlett, interprete di Vedova Nera"
JOHN,Segue Elton nel nome del baronetto del pop
JOHN,Il Lennon dei Beatles
JOHNNY,Il Depp di Pirati dei Caraibi
JOKER,La carta matta del mazzo
JOKER,Il criminale clown nemico di Batman
JOKIC,Il centro serbo più volte MVP della NBA
JOLIE,"Angelina, interprete di Lara Croft"
JOLLY,La carta capace di sostituirne un’altra
JOLLY,Una risorsa da giocare al momento giusto
JOLLY,Il giocatore utilizzabile in più ruoli
JOLLY,Non ha seme né valore fisso nel mazzo
JON,Il Bon Jovi del rock
JON,Il Snow cresciuto a Grande Inverno
JONATHAN,"Il nome di Swift, autore dei Viaggi di Gulliver"
JONSNOW,Il giovane dei Guardiani della Notte cresciuto a Grande Inverno
JOPLIN,La Janis dalla voce blues e rock
JOPLIN,"Scott, compositore del Maple Leaf Rag"
JORDAN,"Michael, sei volte campione NBA con Chicago"
JORDAN,Segue Air nel nome delle celebri scarpe da basket
JORGE,Il Borges autore dell’Aleph
JORGINHO,Il regista azzurro campione d’Europa nel 2021
JOSE,Il Mourinho soprannominato Special One
JOSEPH,Il Conrad autore di Cuore di tenebra
JOSH,Il Brolin interprete di Thanos
JOSHUA,Il successore di Mosè alla guida degli Israeliti
JOULE,L’unità di misura dell’energia nel Sistema Internazionale
JOVANOTTI,Nome d’arte di Lorenzo Cherubini
JOYCE,Il James autore dell’Ulisse
JOYCE,Il nome della scrittrice Carol Oates
JUAN,"Don…, seduttore per antonomasia"
JUAN,Il Carlos che fu re di Spagna
JUDO,Arte marziale creata da Jigoro Kano
JUDO,"Disciplina di proiezioni, prese e cadute"
JUDOKA,Atleta che combatte sul tatami
JUDY,La Garland del Mago di Oz
JUDY,La coniglia agente di polizia di Zootropolis
JUKEBOX,Apparecchio a gettone che seleziona e suona dischi
JULIA,La Roberts di Pretty Woman
JULIAN,"Il nome di Assange, fondatore di WikiLeaks"
JULIE,La Andrews di Mary Poppins
JULIET,L’amata di Romeo nella tragedia di Shakespeare
JULIUS,Il gentilizio latino di Gaio Cesare
JUMANJI,Il gioco da tavolo che scatena avventure nel film omonimo
JUMBO,Il soprannome del Boeing 747
JUNG,"Carl Gustav, teorico degli archetipi e dell’inconscio collettivo"
JUNGLE,"La foresta tropicale, per gli inglesi"
JUNIOR,Distingue il figlio omonimo dal padre
JUSTIN,Il Bieber della pop music
JUTA,Fibra vegetale usata per sacchi e corde
