soluzione,definizione
LA,Iniziali del trombettista Armstrong
LA,Iniziali della cantante Allen
LA,Non qua
LA,Nota dopo il sol
LA,Si usa per accordare in orchestra
LA,Targa automobilistica della provincia di Latina
LABARO,Insegna militare o processionale
LABBRA,Le sigilla il bacio
LABBRO,Bordo sporgente di un recipiente o di un'apertura
LABBRO,"Il bordo carnoso della bocca, o della ferita"
LABBRO,Margine rialzato attorno a una ferita
LABIALE,Prodotto con il movimento delle labbra
LABIALE,Relativo al bordo carnoso della bocca
LABIALI,Pronunciati usando soprattutto le labbra
LABIALI,Relativi al margine della bocca
LABILE,Che svanisce presto
LABILE,La memoria...di chi dimentica in fretta
LABILI,Che svaniscono presto
LABIRINTO,Il...del Minotauro a Creta
LABIRINTO,Intrico di vie da cui uscire
LABIRINTO,Intrico in cui è facile perdersi
LABIRINTO,Percorso costruito per far perdere la via
LABORATORIO,Ambiente attrezzato per esperimenti e analisi
LABORATORIO,"Officina in cui si prova, si misura e si ricerca"
LABORIOSA,Dedita al lavoro
LABORIOSE,Dedite al lavoro
LABORIOSI,Dediti al lavoro
LABORIOSO,Dedito al lavoro
LABRADOR,Cane da riporto originario del Canada
LACCA,Può fissare i capelli o rendere lucida una superficie
LACCA,Quella che fissa l'acconciatura
LACCA,Rende lucidi capelli o oggetti orientali
LACCA,Vernice lucida orientale
LACCHE,Rivestimenti lucidi per mobili e oggetti
LACCHE,Vernici dure dal tipico effetto brillante
LACCI,Stringono scarpe e pacchi
LACCIA,Fissa usando un cordino
LACCIA,Stringe con un nodo
LACCIANO,Fissano due parti con legature
LACCIANO,Stringono usando nodi e cordini
LACCIARE,Chiudere una scarpa passando i fili negli occhielli
LACCIARE,Fissare con un nodo o un cordino
LACCIO,"Il cappio, la trappola insidiosa"
LACCIO,Il legaccio della scarpa
LACCIO,Stringa o vincolo
LACCIO,Stringe scarpe e trappole
LACERA,Strappata e a brandelli
LACERA,Strappata e logora
LACERAI,"Ridussi a brandelli, al passato"
LACERATA,Segnata da profonde ferite
LACERATA,Strappata in più punti
LACERATE,Ferite in modo grave
LACERATE,Ridotte a brandelli
LACERE,Strappate e logore
LACERI,Strappati e logori
LACERO,Strappato e logoro
LACERTA,Costellazione boreale nota come Lucertola
LACERTO,Brano superstite o muscolo da anatomia
LACONIA,La regione di Sparta
LACONICA,Di poche parole
LACONICHE,Di poche parole
LACONICI,Di poche parole
LACONICO,"Dice poco, alla maniera spartana"
LACRIMA,...di coccodrillo: il pianto ipocrita
LACRIMA,Acqua salata dell'occhio
LACRIMA,Goccia che scende dagli occhi
LACRIMA,Scende sulla guancia
LACRIME,Gocce che scendono dagli occhi
LACRIME,Segni visibili di pianto o commozione
LACRIMO,Piango senza singhiozzi
LACUNA,Ciò che manca in una preparazione incompleta
LACUNA,Un vuoto in un testo o in una conoscenza
LACUNE,Parti mancanti di un testo o di una teoria
LACUNE,Vuoti da colmare nello studio
LACUSTRE,Relativo ai laghi
LADOGA,Il maggiore lago d'Europa
LADRI,Entrano o agiscono per sottrarre beni altrui
LADRI,Persone che rubano
LADRO,Al...!: il grido di chi è stato derubato
LADRO,Prende ciò che non gli spetta
LADYOSCAR,La nobile in divisa dei cartoni della rivoluzione francese
LAERTE,Il padre di Ulisse
LAGGIU,In quel luogo più in basso o lontano
LAGGIU,Indica un punto distante da chi parla
LAGHETTI,Bacini naturali di modeste dimensioni
LAGHETTI,Piccoli specchi d'acqua
LAGHETTO,Piccolo specchio d'acqua tra rive vicine
LAGHI,Bacini circondati dalla terraferma
LAGHI,Grandi distese d'acqua interne
LAGNA,Lamento che si allunga
LAGNA,Persona fastidiosa e importuna
LAGNA,Tipo noioso che non smette di lamentarsi
LAGNANZA,Il lamento querulo
LAGNE,Lamenti insistenti e noiosi
LAGNE,Proteste ripetute con tono lamentoso
LAGO,Acqua ferma raccolta tra le rive
LAGO,La distesa d'acqua chiusa tra le rive
LAGO,Specchio d'acqua che non riflette sempre
LAGOS,Grande metropoli nigeriana
LAGUNA,Acqua bassa separata dal mare
LAGUNA,Acqua bassa tra terra e mare
