soluzione,definizione
OASI,L'...naturalistica protetta del WWF
OASI,Macchia verde che consola il deserto
OASI,Promessa d'acqua nel deserto
OASIS,La band britannica dei fratelli Gallagher
OB,Grande fiume della Siberia
OB,Lungo fiume russo che sfocia nell'Artico
OBAMA,Il primo presidente afroamericano degli USA
OBBEDIRE,Eseguire ordini
OBBEDISCE,Esegue ordini
OBBEDISCO,Eseguo ordini
OBBEDISCONO,Eseguono ordini
OBBEDITO,Eseguito ordini
OBBIETTIVO,Tra i suoi significati: «fine»
OBBIETTIVO,"In una sua accezione, «scopo»"
OBBLIGARE,Tra i suoi significati: «costringere»
OBBLIGARE,Può significare «forzare»
OBBLIGATO,Tra i suoi significati: «fisso»
OBBLIGATO,Vale anche «fissato»
OBBLIGAZIONE,Può significare «buono»
OBBLIGAZIONE,Tra i suoi significati: «impegno»
OBBLIGO,"In una sua accezione, «responsabilità»"
OBBLIGO,Vale anche «impegno»
OBELISCO,Monumento alto e affusolato
OBELISCO,Monumento alto e appuntito d'Egitto
OBELISCO,Pietra alta che indica il cielo
OBELIX,Il gigante gallico amico di Asterix
OBESO,"Eccessivamente pesante, clinicamente"
OBESO,"Molto grasso, in sovrappeso"
OBICE,Cannone dal tiro curvo
OBIETTIVAMENTE,Può significare «oggettivamente»
OBIETTIVITA,Vale anche «equità»
OBIETTIVITA,Un possibile significato è «imparzialità»
OBIETTIVO,"In una sua accezione, «fine»"
OBIETTIVO,Un possibile significato è «scopo»
OBIEZIONE,Può significare «difficoltà»
OBIEZIONE,Tra i suoi significati: «osservazione»
OBIWAN,Il maestro Jedi Kenobi
OBLAZIONE,Offerta o pagamento estintivo
OBLIO,Dimenticanza che cancella
OBLIO,La completa dimenticanza
OBLIQUA,Di traverso
OBLIQUE,Di traverso
OBLIQUI,Di traverso
OBLIQUO,Di traverso
OBLO,Finestrino rotondo della nave
OBOE,Legno d'orchestra dal timbro nasale
OBOE,Strumento a fiato dal suono nasale
OBOLO,La piccola offerta in denaro
OBOLO,"Piccola offerta, antica moneta per Caronte"
OCA,Animale proverbiale per sciocchezza
OCA,Il pennuto del celebre gioco
OCARINA,Piccolo fiato d'argilla
OCARINA,Piccolo strumento di terracotta soffiato
OCASO,L'occidente dove il sole cala
OCCASIONALE,Vale anche «breve»
OCCASIONALE,Un possibile significato è «straordinario»
OCCASIONE,Vale anche «momento»
OCCASIONE,Può significare «possibilità»
OCCASO,Tramonto in parola letteraria
OCCHI,"Guardano, piangono e sorridono"
OCCHIALE,Aiuta a vedere meglio
OCCHIALE,Aiuta la vista senza essere occhio
OCCHIALI,Aiutano a leggere meglio
OCCHIALI,Stanno sul naso per vedere meglio
OCCHIATA,Vale anche «vista»
OCCHIATA,"In una sua accezione, «sguardo»"
OCCHIO,Non vede se il cuore non duole
OCCHIO,Vede e si chiude per dormire
OCCHIO,"In una sua accezione, «gemma»"
OCCIDENTE,Vale anche «ovest»
OCCIDENTE,Vale anche «ponente»
OCCLUSIVO,Chiude un passaggio o un suono
OCCULTO,Tra i suoi significati: «travestito»
OCCULTO,Può significare «mascherato»
OCCUPA,Prende spazio o tempo
OCCUPAI,Presi spazio o tempo
OCCUPARE,Prendere spazio o tempo
OCCUPARE,Tra i suoi significati: «assumere»
OCCUPARE,Vale anche «richiedere»
OCCUPATO,Preso spazio o tempo
OCCUPATO,Vale anche «impegnato»
OCCUPAZIONALE,"In una sua accezione, «professionale»"
OCCUPAZIONE,Vale anche «lavoro»
OCCUPAZIONE,Può significare «attività»
OCCUPO,Prendo spazio o tempo
OCEANI,Coprono gran parte del pianeta
OCEANO,Immensa distesa d'acqua salata
OCEANO,Mare che ha superato ogni misura
OCEANO,Mare senza confini per l'occhio
OCEANO,Un... di: una quantità sterminata
OCELLO,Macchia a forma d'occhio su ali o penne
OCELOT,Felino maculato americano
OCOTSK,Mare a est della Siberia
OCRA,Colore terroso tra giallo e bruno
OCRA,Giallo terroso da pittori
OCTANS,Costellazione del polo sud celeste
OCULISTICA,La medicina degli occhi
ODALISCA,Donna da harem nell'immaginario pittorico
ODE,"Lui ascolta, in poesia"
ODE,"Versi solenni, spesso poco quotidiani"
ODEON,Piccolo teatro antico o cinema d'epoca
ODER,Fiume tra Germania e Polonia
ODESSA,Porto ucraino sul Mar Nero
ODIA,Prova avversione profonda
ODIAI,Provai avversione profonda
ODIARE,Provare avversione profonda
ODIATO,Provato avversione profonda
ODIN,Dio nordico con corvi al seguito
ODINO,Il padre degli dei nordici
ODIO,Amore capovolto e avvelenato
ODIO,Un possibile significato è «orrore»
ODIOSO,Vale anche «sgradevole»
ODIOSO,Può significare «spiacevole»
ODISSEA,Il lungo ritorno di Ulisse
ODISSEA,Viaggio lunghissimo e poema
ODISSEO,Il nome greco di Ulisse
ODONTOIATRIA,La cura dei denti
ODORAI,Passato remoto: Sentire un profumo
ODORATO,Participio: Sentire un profumo
ODORE,In...di santità
ODORE,"In una sua accezione, «profumo»"
ODORI,Gli...: gli aromi per il soffritto
OFELIA,L'infelice amata da Amleto
OFELIA,La fanciulla tragica amata da Amleto
OFFENDERE,Può significare «toccare»
OFFENDERE,Può significare «violare»
OFFERENTE,Può significare «acquirente»
OFFERENTE,Un possibile significato è «compratore»
OFFERTA,"Proposta, sconto o dono all'altare"
OFFERTA,Vale anche «donazione»
OFFESA,Ferita fatta con parole
OFFESA,Passare all'...: attaccare
OFFESA,Può significare «insulto»
OFFESE,Recò ingiuria
OFFESO,"In una sua accezione, «infortunato»"
OFFICINA,Luogo di chiavi inglesi e motori aperti
OFFICINA,Luogo dove il guasto diventa lavoro
OFFICINA,Tra i suoi significati: «laboratorio»
OFFRE,Mette a disposizione
OFFRIRE,Mettere a disposizione
OFFRO,Metto a disposizione
OFFUSCARE,Togliere chiarezza o brillantezza
OFIDIO,Serpente in linguaggio zoologico
OG,Simbolo chimico dell'oganesson
OGAM,Antico alfabeto irlandese
OGGETTIVAMENTE,"In una sua accezione, «obiettivamente»"
OGGETTIVO,"In una sua accezione, «obiettivo»"
OGGETTIVO,Un possibile significato è «obbiettivo»
OGGI,Vale anche «ora»
OGGI,Può significare «adesso»
OGGIGIORNO,Un possibile significato è «ora»
OGGIGIORNO,Vale anche «oggi»
OGNI,Distributivo che non lascia fuori nessuno
OHIO,Lo Stato americano sul lago Erie
OHM,La sillaba sacra ripetuta nella meditazione
OHM,Resistenza scritta senza opporsi
