soluzione,definizione
TA,Sigla automobilistica di Taranto
TABACCO,Bruno scuro caldo
TABERNACOLO,Custodia sacra o piccola edicola
TABIANO,Stazione termale del Parmense
TABLA,La coppia di tamburi indiani
TABLINO,Sala di rappresentanza della casa romana
TABU,Divieto non sempre scritto
TABUCCHI,Autore di Sostiene Pereira
TABULE,Insalata mediorientale di bulgur e prezzemolo
TAC,Scatto di serratura o esame per immagini
TACCHINO,Volatile natalizio e tripletta nel bowling
TACCIO,Forma verbale: Restare zitto
TACCIONO,Presente plurale: Restare zitto
TACCO,Rialza scarpe e colpisce nel calcio
TACCUINO,Quadernetto da appunti
TACE,Forma verbale: Restare zitto
TACHICARDIA,Battito cardiaco accelerato
TACI,Forma verbale: Restare zitto
TACITO,Lo storico degli Annales
TACITURNA,"Di poche parole, al femminile"
TACITURNE,"Di poche parole, al femminile plurale"
TACITURNI,"Di poche parole, al plurale"
TACITURNO,Di poche parole
TACQUE,Non disse nulla
TAEKWONDO,Arte marziale coreana dei calci
TAFANO,Grosso insetto dalla puntura dolorosa
TAFFERUGLIO,La piccola rissa confusa
TAFFETA,Tessuto leggero e fruscante
TAGICHI,Popolo di lingua iranica dell'Asia centrale
TAGIKISTAN,Paese del Pamir
TAGLIA,Separa con lama
TAGLIARE,Separare con lama
TAGLIATELLE,Pasta lunga all'uovo emiliana
TAGLIATO,Separato con lama
TAGLIERE,Asse di legno per tagliare
TAGLIO,Separo con lama
TAGO,Fiume di Toledo e Lisbona
TAGORE,Poeta indiano premio Nobel
TAHITI,Isola polinesiana dipinta da Gauguin
TAIGA,Foresta fredda di conifere
TAIWAN,Isola di fronte alla Cina
TALAMO,Letto nuziale in lingua solenne
TALE,Individuo non precisato
TALEA,Rametto per la propagazione delle piante
TALEGGIO,Formaggio molle lombardo
TALENTO,Dote che chiede esercizio
TALIA,La musa della commedia
TALISMANO,Oggetto che promette fortuna
TALLINN,Capitale estone sul Baltico
TALMUD,Grande raccolta della tradizione ebraica
TALPA,Animale che scava gallerie
TAMARINDO,Frutto acidulo da sciroppi
TAMBURELLO,Piccolo tamburo e sport da piazza
TAMBURO,Strumento a percussione
TAMERICE,Arbusto delle coste sabbiose
TAMERLANO,Conquistatore turco-mongolo
TAMIGI,Fiume di Londra
TAMIL,Popolo e lingua dell'India del Sud
TAN,"Funzione trigonometrica, in sigla inglese"
TANA,Rifugio di chi si nasconde
TANDEM,Bicicletta a due posti in fila
TANDOORI,Cottura indiana nel forno di argilla
TANGANICA,Lungo lago dell'Africa orientale
TANGENTE,La retta che tocca la curva in un punto
TANGENZA,"Contatto in un punto, non solo scandalo"
TANGERI,Città marocchina dello stretto
TANGIBILE,Che si può toccare
TANGIBILI,"Che si può toccare, al plurale"
TANGO,Ballo nato sul Rio de la Plata
TANICA,Recipiente per liquidi con tappo a vite
TANIT,La dea protettrice di Cartagine
TANNINO,Sostanza vegetale astringente
TANTALO,Il suppliziato tra acqua e frutti
TANZANIA,Stato del Kilimangiaro e di Zanzibar
TAO,Via orientale più che strada
TAORMINA,Perla siciliana sullo Ionio
TAPIRO,Mammifero dal corto muso a proboscide
TAPPA,Chiude un foro
TAPPARE,Chiudere un foro
TAPPARELLA,L'avvolgibile a stecche della finestra
TAPPATO,Chiuso un foro
TAPPETO,Copre e orna il pavimento
TAPPEZZIERE,Riveste mobili e pareti di stoffa
TAPPO,Chiudo un foro
TAR,Tribunale amministrativo in tre lettere
TARA,Peso che non conta
TARAI,Passato remoto: Regolare una misura
TARANTELLA,Vivace danza dell'Italia meridionale
TARANTINO,Regista di Pulp Fiction
TARANTO,Città dei due mari
TARANTOLA,Ragno peloso da paure e pizzica
TARASSACO,Erba spontanea dal fiore giallo
TARATO,Participio: Regolare una misura
TARDO,Lento ad arrivare o capire
TARGA,Nome metallico dell'auto o del premio
TARLO,Rode legno e pensieri
TARO,Forma verbale: Regolare una misura
TARSIO,Piccolo primate dagli occhi enormi
TARSO,Le ossa della parte posteriore del piede
TARTAGLIA,Il Niccolo matematico bresciano
TARTARI,Popolazione di origine mongola
TARTARO,L'abisso più profondo degli inferi
TARTARUGA,Rettile dal guscio
TARTINI,Il Giuseppe del Trillo del diavolo
TARTUFO,Tesoro sotterraneo da fiuto
TASCA,Piccolo nascondiglio cucito
TASHKENT,Capitale uzbeka
TASMAN,Mare tra Australia e Nuova Zelanda
TASMANIA,Isola a sud dell'Australia
TASSIDERMIA,Arte di preparare animali imbalsamati
TASSO,Animale notturno o percentuale d'interesse
TASTA,Forma verbale: Toccare per provare
TASTAI,Passato remoto: Toccare per provare
TASTATO,Participio: Toccare per provare
TASTIERA,File di tasti per musica o lettere
TASTO,Si preme per musica o lettere
TAU,Greca a forma di croce
TAUTOLOGIA,Ripete il concetto fingendo di provarlo
TAVERNA,Il locale rustico del seminterrato
TAVOLOZZA,Tiene i colori del pittore
TAXON,Unità di classificazione biologica
TB,Iniziali del premier Blair
TBILISI,Capitale della Georgia caucasica
TC,Iniziali dello scrittore Capote
TE,Sigla automobilistica di Teramo
TEA,Rosa da salotto inglese
TEAM,La squadra di lavoro
TEBE,Antica città greca di Edipo
TECA,Custodia trasparente da museo
TECHNO,Genere elettronico da discoteca
TECNICA,Sapere pratico organizzato
TECTITE,Vetro naturale da impatto meteoritico
TED,Nome proprio dell'orsacchiotto sboccato del film
TEDIA,Forma verbale: Annoiare
TEDIAI,Passato remoto: Annoiare
TEDIATO,Participio: Annoiare
TEDIO,Forma verbale: Annoiare
TEE,Supporto minuscolo del golfista
TEGAME,Parente largo della pentola
TEGLIA,Recipiente largo da forno
TEGUCIGALPA,Capitale honduregna
TEHERAN,Capitale dell'Iran
TEIERA,Serve il tè
TEINA,La caffeina quando sta nel tè
TEL,In rubrica indica il numero da chiamare
TELA,Supporto del pittore
TELAIO,Struttura che tesse o sostiene
TELAMONE,Figura maschile che regge l'architettura
TELAVIV,Metropoli israeliana sul Mediterraneo
TELEFONO,"Voce a distanza, anche senza filo"
TELEMACHO,Il figlio di Ulisse e Penelope
TELEMACO,Il figlio di Ulisse
TELEOLOGIA,La dottrina del fine ultimo delle cose
TELESCOPIO,Trasforma stelle in dettagli
TELESCOPIUM,Il Telescopio dei cieli australi
TELLINA,Piccolo mollusco bivalve di sabbia
TELLURICO,"Della Terra, specie se trema"
TELLURIO,Semimetallo raro
TELOMERO,Estremità protettiva del cromosoma
TELONE,Grande telo di copertura
TEMA,Argomento da svolgere o motivo musicale
TEMERARIA,"Audace oltre prudenza, al femminile"
TEMERARIE,"Audace oltre prudenza, al femminile plurale"
TEMERARI,"Audace oltre prudenza, al plurale"
TEMERARIO,Sfida il rischio più della prudenza
TEMPERA,Colore da scuola e tecnica pittorica
TEMPESTA,Disordine violento del cielo e del mare
TEMPESTIVO,Arriva proprio quando serve
TEMPIO,Edificio sacro
TEMPO,"Passa, si misura, si perde"
TEMPORALE,Perturbazione con lampi e tuoni
TEMPURA,Frittura giapponese in pastella
TENAGLIA,Attrezzo per afferrare e strappare
TENDA,Riparo di tela o cortina domestica
TENDAGGIO,Insieme di tende e drappeggi
TENDENZIOSO,Inclina l'argomento verso una tesi
TENDER,Carro della locomotiva per acqua e carbone
TENDINE,Unisce muscolo e osso
TENEBROSA,"Oscuro e cupo, al femminile"
TENEBROSE,"Oscuro e cupo, al femminile plurale"
TENEBROSI,"Oscuro e cupo, al plurale"
TENEBROSO,Oscuro e cupo
TENERA,"Morbido o affettuoso, al femminile"
TENERE,"Morbido o affettuoso, al femminile plurale"
TENERI,"Morbido o affettuoso, al plurale"
TENERIFE,Isola canaria col Teide
TENERO,Morbido o affettuoso
TENGRI,Il dio del cielo dei popoli delle steppe
TENORE,Voce alta maschile e contenuto
TENSIONE,Lo stato di un corpo teso
TENTA,Prova a fare
TENTARE,Provare a fare
TENTATO,Provato a fare
TENTENNO,Sono incerto se agire
TENTO,Provo a fare
TENZONE,Contesa poetica o cavalleresca
TEO,Prefisso del divino
TEOCRAZIA,Potere politico fondato sul sacro
TEODICEA,Prova a giustificare Dio davanti al male
TEODORICO,Re degli Ostrogoti a Ravenna
TEOLOGIA,Lo studio razionale di Dio
TEORIA,"Fila, ipotesi o sistema"
TEPIDARIO,La sala tiepida delle terme
TEREBINTO,Albero mediterraneo resinoso
TEREBRANTE,Penetra o tormenta come un trapano
TERESA,Nome proprio della santa di Calcutta
TERIYAKI,Salsa giapponese dolce e lucida
TERME,Acque calde e relax romano
TERMINA,Porta alla fine
TERMINALE,Punto finale o dispositivo informatico
TERMINARE,Portare alla fine
TERMINATO,Portato alla fine
TERMINE,"Fine, parola o scadenza"
TERMINO,Porto alla fine
TERMITE,Insetto sociale che divora il legno
TERMOPOLIO,Banco caldo nelle strade romane
TERNO,Tre numeri fortunati al lotto
TERRA,"Pianeta, suolo o elemento"
TERRACOTTA,Argilla cotta da vasi e statue
TERRADISIENA,Bruno rossiccio da pigmento
TERRANOVA,Grande isola del Canada atlantico
TERRAPIENO,Rialzo artificiale di terra
TERRARIO,Recinto di vetro per rettili e piante
TERRAZZA,Spazio scoperto sopra o davanti a casa
TERRAZZINO,Il piccolo balcone
TERRICCIO,Terra pronta per vasi e semi
TERRORE,Paura portata al massimo
TERRY,Nome proprio dello scrittore fantasy Pratchett
TERSICORE,La musa della danza
TERSITE,Il brutto e insolente guerriero dell'Iliade
TERZINA,Gruppo di tre note in un tempo
TERZO,Segue il secondo
TESEO,Uccise il Minotauro
TESI,La proposizione che si vuole sostenere
TESLA,Il Nikola della corrente alternata
TESO,Stirato o nervoso
TESORO,Ricchezza nascosta e vezzeggiativo
TESSAGLIA,Regione della Grecia centrale
TESSE,Forma verbale: Intrecciare fili
TESSI,Forma verbale: Intrecciare fili
TESSITORE,Lavora al telaio i fili in stoffa
TESSITURA,Intreccio di fili o trama sonora
TESSO,Forma verbale: Intrecciare fili
TESSUTO,Insieme organizzato di cellule
TESTA,Comanda il corpo e apre le classifiche
TETA,Angolo scritto alla greca
TETI,La madre di Achille
TETRA,"Cupo e triste, al femminile"
TETRAEDRO,Solido a quattro facce triangolari
TETRAGONO,"Resistente e saldo, da figura a quattro angoli"
TETRAMETRO,Verso misurato in quattro parti
