soluzione,definizione
UBBIDIRE,Adeguarsi senza opporsi a un ordine
UBBIDIRE,Eseguire ciò che viene comandato
UBER,Piattaforma nata per prenotare corse con conducente
UBER,"«Sopra» in tedesco, senza dieresi"
UBICATA,Collocata in un determinato luogo
UBICATA,Situata nel punto indicato
UBICATE,Collocate in determinati luoghi
UBICATE,Situate nei punti indicati
UBICATI,Collocati in determinati luoghi
UBICATI,Situati nei punti indicati
UBICATO,Collocato in un determinato luogo
UBICATO,Situato nel punto indicato
UBIQUO,Presente in ogni luogo
UBRIACO,Ha bevuto decisamente troppo
UCCELLO,Animale vertebrato coperto di penne
UCCELLO,"Ha becco, penne e ali"
UCCIDERE,Provocare la morte di qualcuno
UCCIDERE,Togliere volontariamente la vita
UCCISE,Tolse la vita
UCCISIONE,Atto che provoca la morte di qualcuno
UCCISIONE,Morte causata deliberatamente
UCCISO,Privato della vita
UCRAINA,Stato europeo affacciato sul Mar Nero
UD,Sigla automobilistica della provincia friulana
UDINE,Capoluogo friulano con piazza della Libertà
UDINE,Città friulana con affreschi di Giambattista Tiepolo
UDIRE,Cogliere un suono
UDIRE,Percepire attraverso le orecchie
UDITA,Appresa ascoltando una voce o un suono
UDITA,Percepita attraverso le orecchie
UDITE,Apprese ascoltando voci o suoni
UDITE,Percepite attraverso le orecchie
UDITI,Appresi ascoltando voci o suoni
UDITI,Percepiti attraverso le orecchie
UDITIVA,Connessa alla facoltà di ascoltare
UDITIVA,Relativa alla percezione dei suoni
UDITIVE,Connesse alla facoltà di ascoltare
UDITIVE,Relative alla percezione dei suoni
UDITIVI,Connessi alla facoltà di ascoltare
UDITIVI,Relativi alla percezione dei suoni
UDITIVO,Connesso alla facoltà di ascoltare
UDITIVO,Relativo alla percezione dei suoni
UDITO,Il senso affidato alle orecchie
UDO,Germoglio giapponese dal lungo fusto
UDON,Spessi noodle giapponesi di frumento
UE,Sigla dell'Unione europea
UFFICIALE,Confermato o riconosciuto da un'autorità
UFFICIALE,Militare appartenente ai gradi di comando
UFFICIALMENTE,In modo formale e riconosciuto
UFFICIO,Incarico o funzione svolta per un ente
UFFICIO,Locale destinato al lavoro amministrativo
UFFICIO,Vi si sbrigano pratiche e documenti
UFFIZI,Museo fiorentino affacciato sull'Arno
UFO,"Oggetto volante non identificato, in sigla"
UFO,Precede Robot nel titolo italiano di Goldrake
UFOROBOT,Il titolo italiano di Goldrake comincia così
UGANDA,Stato africano attraversato dall'Equatore
