soluzione,definizione
WAGNER,Tedesco di leitmotiv e valchirie
WALT,Nome proprio del papà di Topolino Disney
WALTER,Nome proprio del White di Breaking Bad
WARHOL,Re della pop art americana
WARREN,Nome proprio del finanziere Buffett
WASABI,Il rafano verde piccante giapponese
WASHINGTON,Primo presidente degli Stati Uniti
WATT,Perfezionò la macchina a vapore
WAYNE,Nome proprio del campione di hockey Gretzky
WEB,Rete che non pesca
WEBER,L'unità di flusso magnetico
WEEKEND,Il fine settimana
WELFARE,Il sistema di assistenza sociale
WELLINGTON,Capitale della Nuova Zelanda
WENDY,Nome proprio della bambina amica di Peter Pan
WERNER,Nome proprio del regista tedesco Herzog
WES,Nome proprio del regista Anderson
WESTERN,Film ambientato nel Far West
WHITMAN,Poeta americano di Foglie d'erba
WILDE,Autore del Ritratto di Dorian Gray
WILL,Nome proprio dell'attore Smith
WILLIE,Nome proprio del cantante country Nelson
WILSON,Nome proprio del pallone amico di Tom Hanks in Cast Away
WINDHOEK,Capitale namibiana
WINDSURF,Tavola a vela sull'acqua
WINNIE,Nome proprio dell'orsetto Pooh
WOK,Padella orientale dal fondo concavo
WONTON,Raviolo cinese in brodo
WOODY,Nome proprio del regista Allen
WOOLF,La Virginia di Gita al faro
WRIGHT,Architetto americano della casa sulla cascata
