soluzione,definizione
XAVI,Il regista della Spagna campione del mondo nel 2010
XAVIER,Il professor telepate che fonda la scuola dei mutanti
XBOX,Console Microsoft contraddistinta da una grande X verde
XE,Il simbolo dell'elemento atomico numero 54
XENO,Gas nobile con numero atomico 54
XENO,Prefisso che rimanda a ciò che è straniero
XENOFOBIA,Avversione verso chi è percepito come straniero
XENOFOBO,Manifesta ostilità verso persone di altri paesi
XERES,Vino liquoroso andaluso noto come sherry
XIAN,Città cinese presso cui fu scoperto l'esercito di terracotta
XILOFONO,Strumento orchestrale a lamine percosse con bacchette
XILOFONO,Ha elementi di legno disposti come una tastiera
XILOGRAFIA,Tecnica di stampa ricavata da una matrice lignea
XILOGRAFO,Incisore specializzato nelle matrici di legno
XMAS,Il Natale ridotto a quattro caratteri nel mondo anglosassone
