soluzione,definizione
YACHT,Imbarcazione elegante da diporto
YAK,Bovino peloso dell'Himalaya
YALE,Università americana dell'Ivy League
YAMA,Il dio indù della morte
YAMAHA,La casa giapponese di moto e strumenti musicali
YANG,Il principio maschile opposto allo yin
YANGTZE,Il fiume più lungo della Cina
YAOUNDE,Capitale camerunese
YARD,"La iarda anglosassone, in inglese"
YATAGAN,Coltellaccio ricurvo turco
YB,Iniziali del campione Berra
YB,Simbolo chimico dell'itterbio
YELLOWSTONE,Il primo parco nazionale del mondo coi geyser
YELLOWSTONE,Parco americano dei geyser
YEMEN,Paese all'angolo sud dell'Arabia
YEN,Denaro di Tokyo
YEN,Moneta del Giappone
YEREVAN,La capitale dell'Armenia
YES,Assenso inglese in tre caselle
YES,La band rock di Owner of a Lonely Heart
YETI,L'abominevole uomo delle nevi
YGGDRASIL,L'albero cosmico della mitologia norrena
YIDDISH,Lingua degli ebrei dell'Europa orientale
YODA,Il piccolo maestro Jedi di Star Wars
YODA,Il maestro Jedi dalla parlata rovesciata
YOGA,Disciplina che piega il corpo e il respiro
YOGA,Disciplina di posture e respiro
YOGHI,L'orso dei cartoni ghiotto di cestini da picnic
YOGURT,Il latte fermentato del vasetto
YOKO,La Ono artista e moglie di John Lennon
YOKOHAMA,Grande porto del Giappone
YORK,Città inglese e casata delle due rose
YORKSHIRE,Contea inglese o piccolo cane
YORUBA,Popolo e lingua della Nigeria
YOSEMITE,Il parco californiano delle pareti di granito
YOUTUBE,La piattaforma dei video di Google
YOYO,Giocattolo che sale e scende sul filo
YUAN,La valuta della Cina
YUCATAN,Penisola messicana dei Maya
YUKON,Fiume dell'Alaska
YUKON,Fiume e territorio del Grande Nord
YUPPIE,Giovane rampante anni Ottanta
YURI,Nome proprio del cosmonauta Gagarin
YVES,Il Saint Laurent della moda francese
