soluzione,definizione
ZABAIONE,"Crema montata con tuorli, zucchero e vino liquoroso"
ZACCARIA,"Sacerdote biblico, padre di Giovanni Battista"
ZAFFERANO,Spezia ricavata dagli stimmi del croco
ZAFFERANO,Dà colore e profumo al risotto alla milanese
ZAFFIRO,"Gemma preziosa, spesso di un intenso blu"
ZAGABRIA,Capitale della Croazia
ZAGABRIA,Città croata attraversata dalla Sava
ZAGARA,Fiore bianco e profumato degli agrumi
ZAGOR,L'eroe dei fumetti noto come Spirito con la Scure
ZAINETTO,Piccolo bagaglio da portare sulle spalle
ZAINI,Compagni quotidiani di molti studenti
ZAINO,Bagaglio sostenuto da due spallacci
ZAINO,"Può contenere libri, viveri o attrezzatura da trekking"
ZAINO,Fa sentire il suo peso durante una lunga camminata
ZALONE,"Checco, comico e attore pugliese"
ZAMBESI,Fiume africano che forma le cascate Vittoria
ZAMBIA,"Stato africano senza sbocco sul mare, con capitale Lusaka"
ZAMPA,Arto di molti animali
ZAMPA,Può lasciare un'impronta nel fango
ZAMPA,Sostiene tanto un animale quanto certi mobili
ZAMPA,Una delle quattro di molti quadrupedi
ZAMPE,Quelle di gallina indicano una grafia poco leggibile
ZAMPILLO,Sale sottile prima di ricadere
ZAMPILLO,Getto d'acqua slanciato verso l'alto
ZAMPOGNA,Strumento a sacco della tradizione pastorale
ZAMPOGNA,Accompagna spesso le musiche natalizie popolari
ZAMPONE,Insaccato modenese servito spesso a Capodanno
ZAMPONE,Specialità emiliana che si accompagna alle lenticchie
ZANETTI,"Javier, storico capitano argentino dell'Inter"
ZANNA,"Bianca, il lupo-cane creato da Jack London"
ZANNA,Dente lungo usato come arma o difesa
ZANNA,Sporge dalla bocca del cinghiale o dell'elefante
ZANNE,Armi naturali di elefanti e cinghiali
ZANTE,Isola ionica celebrata da Ugo Foscolo
ZANZARA,Insetto ematofago dal ronzio notturno
ZANZARA,Piccola presenza estiva che disturba il sonno
ZANZARE,Lasciano punture pruriginose
ZANZARIERA,Rete che lascia entrare l'aria ma non gli insetti
ZANZIBAR,Arcipelago tanzaniano noto per le spezie
ZANZIBAR,La sua Città di Pietra è patrimonio dell'umanità
ZAPPA,Attrezzo agricolo per rompere e rivoltare il terreno
ZAPPA,"Ci si può dare sui piedi, figuratamente"
ZAPPA,Ha una lama trasversale fissata a un lungo manico
ZAPPARE,Rompere e rivoltare il terreno a colpi d'attrezzo
ZAPPATO,"Lavorato e smosso, detto di un terreno"
ZAPPO,Smuovo il terreno con un attrezzo agricolo
ZAR,Titolo dei sovrani della Russia imperiale
ZAR,Autocrate russo in sole tre lettere
ZARA,Città dalmata sull'Adriatico
ZARA,Marchio spagnolo della moda a diffusione mondiale
ZARATHUSTRA,Profeta e riformatore religioso dell'antica Persia
ZARZUELA,Genere teatrale musicale nato in Spagna
ZATTERA,Quella della Medusa è dipinta da Géricault
ZATTERA,Mezzo galleggiante privo di scafo
ZATTERA,Può essere costruita alla meglio in un naufragio
ZATTERONE,Calzatura con suola molto alta e massiccia
ZATTERONE,Scarpa che regala parecchi centimetri
ZAYTSEV,"Ivan, pallavolista azzurro soprannominato lo Zar"
ZEBRA,Ha ispirato il nome delle strisce pedonali
ZEBRA,Equide africano dal mantello a bande
ZEBRA,Corre nella savana in bianco e nero
ZEBRE,Equidi africani dal mantello inconfondibile
ZECCA,Aracnide parassita che si nutre di sangue
ZECCA,Può attaccarsi alla pelle oppure coniare monete
ZECCA,Stabilimento in cui si producono monete
ZECCA,"Nuovo di..., appena uscito dalla coniazione"
ZEFFIRELLI,"Franco, regista di Romeo e Giulietta"
ZEFIRO,Vento mite proveniente da ponente
ZEFIRO,Soffio leggero associato alla primavera
ZEFIRO,Nella mitologia greca era il vento occidentale
ZELANTE,Animato da un impegno fin troppo acceso
ZELANTI,Assai diligenti e pieni di fervore
ZELDA,La Fitzgerald che fu scrittrice e moglie di Francis Scott
ZELDA,Principessa della celebre saga videoludica con Link
ZELIG,Il camaleonte umano di un film di Woody Allen
ZELO,Fervore diligente nello svolgere un compito
ZELO,Può spingere a fare anche più del necessario
ZELO,"Dedizione intensa, talvolta eccessiva"
ZEMECKIS,"Robert, regista di Ritorno al futuro"
ZEN,Scuola buddhista fondata sulla meditazione
ZEN,Tradizione giapponese che ricerca consapevolezza e semplicità
ZEN,"Evoca calma, essenzialità e concentrazione"
ZENGA,"Walter, portiere azzurro soprannominato l'Uomo Ragno"
ZENIT,Punto della volta celeste esattamente sopra l'osservatore
ZENONE,Filosofo greco celebre per i paradossi del movimento
